Points_0,Points_1,Points_2,U_0,U_1,U_2,VectorGradient_0,VectorGradient_1,VectorGradient_2,VectorGradient_3,VectorGradient_4,VectorGradient_5,VectorGradient_6,VectorGradient_7,VectorGradient_8
-1.30824,0,0.200051,-0.389583,0,-0.0623614,0.085549,0,-0.995947,0,0,0,-0.0648238,0,-0.242025
-1.02994,0,0.200051,-0.312282,0,-0.0852247,0.123284,0,-0.851652,0,0,0,-0.0588497,0,-0.3282
-0.771312,0,0.200051,-0.219268,0,-0.100231,0.154888,0,-0.672585,0,0,0,-0.0339782,0,-0.388795
-0.530955,0,0.200051,-0.123949,0,-0.0949425,0.169566,0,-0.477996,0,0,0,0.0264797,0,-0.394629
-0.307583,0,0.200051,-0.0478747,0,-0.0495882,0.170719,0,-0.288041,0,0,0,0.151857,0,-0.297629
-0.0999933,0,0.200051,0.00504786,0,0.050825,0.196284,0,-0.0981106,0,0,0,0.216023,0,-0.107977
-96.3741,0,0.609877,4.04297,0,0.0541029,-0.0488137,0,3.89502,0,0,0,0.00423487,0,0.0185548
-89.3784,0,0.609877,3.91392,0,0.0162831,-0.0151129,0,4.34201,0,0,0,-0.00333813,0,0.0273702
-82.877,0,0.609877,3.80933,0,0.00150435,-0.0110477,0,4.28667,0,0,0,-0.000926242,0,0.0134591
-76.8351,0,0.609877,3.75234,0,0.00199539,-0.00811679,0,4.19471,0,0,0,0.000144217,0,0.00917922
-71.22,0,0.609877,3.70574,0,0.00333767,-0.00861597,0,4.12651,0,0,0,0.000150859,0,0.00968679
-66.0017,0,0.609877,3.65232,0,0.00387483,-0.0102501,0,4.06659,0,0,0,0.000124782,0,0.0111076
-61.1522,0,0.609877,3.5941,0,0.0045294,-0.0119482,0,4.0034,0,0,0,0.000182481,0,0.012944
-56.6453,0,0.609877,3.53083,0,0.00542627,-0.0140535,0,3.93514,0,0,0,0.000244832,0,0.0152326
-52.4568,0,0.609877,3.46126,0,0.00648491,-0.01662,0,3.86146,0,0,0,0.000309331,0,0.0179745
-48.5644,0,0.609877,3.38478,0,0.00772294,-0.0196255,0,3.78163,0,0,0,0.000389189,0,0.0211879
-44.9469,0,0.609877,3.30091,0,0.00917026,-0.0231108,0,3.69513,0,0,0,0.000486116,0,0.0249082
-41.5851,0,0.609877,3.20924,0,0.0108444,-0.027117,0,3.6016,0,0,0,0.000600804,0,0.0291691
-38.4609,0,0.609877,3.10946,0,0.0127604,-0.0316743,0,3.50083,0,0,0,0.000734968,0,0.0339961
-35.5573,0,0.609877,3.00141,0,0.0149302,-0.0368037,0,3.3927,0,0,0,0.000889357,0,0.0394028
-32.859,0,0.609877,2.88507,0,0.0173586,-0.0425135,0,3.27723,0,0,0,0.00106317,0,0.0453845
-30.3513,0,0.609877,2.76059,0,0.0200403,-0.0487884,0,3.15459,0,0,0,0.00125374,0,0.0519129
-28.0208,0,0.609877,2.62835,0,0.0229574,-0.0555853,0,3.0251,0,0,0,0.00145606,0,0.0589307
-25.855,0,0.609877,2.48895,0,0.0260776,-0.0628377,0,2.88925,0,0,0,0.00166244,0,0.0663472
-23.8422,0,0.609877,2.34321,0,0.0293528,-0.0704397,0,2.7477,0,0,0,0.00186236,0,0.0740377
-21.9717,0,0.609877,2.19221,0,0.0327191,-0.0782536,0,2.6013,0,0,0,0.00204272,0,0.0818447
-20.2333,0,0.609877,2.03723,0,0.0360993,-0.0861122,0,2.45104,0,0,0,0.00218876,0,0.0895838
-18.6177,0,0.609877,1.87975,0,0.0394067,-0.0938253,0,2.29807,0,0,0,0.00228535,0,0.0970533
-17.1164,0,0.609877,1.72136,0,0.0425513,-0.101196,0,2.14368,0,0,0,0.00231854,0,0.104048
-15.7211,0,0.609877,1.56372,0,0.0454461,-0.108029,0,1.9892,0,0,0,0.00227751,0,0.110376
-14.4243,0,0.609877,1.40844,0,0.0480146,-0.114149,0,1.83601,0,0,0,0.00215659,0,0.115872
-13.2193,0,0.609877,1.25707,0,0.0501971,-0.11942,0,1.68544,0,0,0,0.00195992,0,0.120422
-12.0993,0,0.609877,1.11095,0,0.0519625,-0.123772,0,1.53868,0,0,0,0.00171485,0,0.123992
-11.0585,0,0.609877,0.971152,0,0.0533361,-0.12725,0,1.39677,0,0,0,0.00150543,0,0.126672
-10.0913,0,0.609877,0.838353,0,0.0544659,-0.1301,0,1.26047,0,0,0,0.0015318,0,0.128751
-9.19237,0,0.609877,0.712657,0,0.0557323,-0.13287,0,1.13043,0,0,0,0.00215447,0,0.130777
-8.35698,0,0.609877,0.593408,0,0.0578348,-0.136448,0,1.00739,0,0,0,0.00376985,0,0.133484
-7.58061,0,0.609877,0.479157,0,0.061584,-0.141714,0,0.892427,0,0,0,0.00631956,0,0.137651
-6.85911,0,0.609877,0.368233,0,0.0671828,-0.149462,0,0.786916,0,0,0,0.0090244,0,0.144199
-6.18859,0,0.609877,0.258604,0,0.0742069,-0.159624,0,0.691543,0,0,0,0.0113012,0,0.153779
-5.56544,0,0.609877,0.149001,0,0.0822766,-0.171112,0,0.60576,0,0,0,0.0126587,0,0.1656
-4.98633,0,0.609877,0.0393709,0,0.0903838,-0.182132,0,0.529257,0,0,0,0.0116938,0,0.177248
-4.44814,0,0.609877,-0.0687079,0,0.0967067,-0.189563,0,0.462515,0,0,0,0.00661776,0,0.185316
-3.94798,0,0.609877,-0.171813,0,0.0988766,-0.189623,0,0.405987,0,0,0,-0.00407892,0,0.185821
-3.48316,0,0.609877,-0.265036,0,0.0943052,-0.178656,0,0.359471,0,0,0,-0.0214939,0,0.174944
-3.05118,0,0.609877,-0.342753,0,0.0804294,-0.154302,0,0.321335,0,0,0,-0.0460226,0,0.150449
-2.64973,0,0.609877,-0.400232,0,0.0552896,-0.116476,0,0.287788,0,0,0,-0.0763893,0,0.112922
-2.27664,0,0.609877,-0.435156,0,0.0185503,-0.0671881,0,0.252601,0,0,0,-0.108731,0,0.0653811
-1.92992,0,0.609877,-0.448473,0,-0.0275746,-0.00969127,0,0.209205,0,0,0,-0.138113,0,0.0115327
-1.6077,0,0.609877,-0.441562,0,-0.0793446,0.0528006,0,0.154002,0,0,0,-0.16075,0,-0.0455368
-1.30824,0,0.609877,-0.41675,0,-0.13256,0.118138,0,0.0868451,0,0,0,-0.17267,0,-0.104132
-1.02994,0,0.609877,-0.376584,0,-0.181996,0.185194,0,0.0112093,0,0,0,-0.167413,0,-0.165483
-0.771312,0,0.609877,-0.322641,0,-0.220913,0.250159,0,-0.0634156,0,0,0,-0.133936,0,-0.236434
-0.530955,0,0.609877,-0.256183,0,-0.240006,0.301554,0,-0.11956,0,0,0,-0.0480732,0,-0.331378
-0.307583,0,0.609877,-0.179925,0,-0.222504,0.350128,0,-0.135843,0,0,0,0.189379,0,-0.445783
-0.0999933,0,0.609877,-0.0912815,0,-0.124346,0.530385,0,-0.0656925,0,0,0,0.961164,0,-0.252213
-96.3741,0,1.03963,5.23765,0,0.0606954,-0.0133003,0,2.14344,0,0,0,0.00562721,0,0.00525608
-89.3784,0,1.03963,5.18128,0,0.0229005,-0.0126425,0,2.3404,0,0,0,-0.00384236,0,0.0120759
-82.877,0,1.03963,5.06056,0,0.00696032,-0.0150377,0,2.37421,0,0,0,-0.00122496,0,0.0133651
-76.8351,0,1.03963,4.97653,0,0.00698216,-0.0121472,0,2.35178,0,0,0,0.000121246,0,0.0128899
-71.22,0,1.03963,4.91039,0,0.00830311,-0.0121487,0,2.32006,0,0,0,0.000229519,0,0.0130691
-66.0017,0,1.03963,4.84044,0,0.00940042,-0.01404,0,2.29046,0,0,0,0.000274128,0,0.0143879
-61.1522,0,1.03963,4.76504,0,0.0109716,-0.0163189,0,2.261,0,0,0,0.000395595,0,0.0166063
-56.6453,0,1.03963,4.68348,0,0.0129899,-0.0190997,0,2.22988,0,0,0,0.00052311,0,0.0194332
-52.4568,0,1.03963,4.59442,0,0.0153782,-0.0224719,0,2.19667,0,0,0,0.000663213,0,0.0228104
-48.5644,0,1.03963,4.49702,0,0.0181773,-0.0264293,0,2.16113,0,0,0,0.000832897,0,0.0267736
-44.9469,0,1.03963,4.39069,0,0.0214319,-0.0310108,0,2.12306,0,0,0,0.00103595,0,0.0313632
-41.5851,0,1.03963,4.27493,0,0.0251743,-0.0362689,0,2.08229,0,0,0,0.00127505,0,0.0366188
-38.4609,0,1.03963,4.14936,0,0.0294335,-0.0422425,0,2.03873,0,0,0,0.0015532,0,0.0425768
-35.5573,0,1.03963,4.01378,0,0.0342294,-0.0489606,0,1.99225,0,0,0,0.00187141,0,0.0492624
-32.859,0,1.03963,3.86814,0,0.0395672,-0.0564402,0,1.94278,0,0,0,0.00222778,0,0.0566832
-30.3513,0,1.03963,3.71259,0,0.0454317,-0.0646674,0,1.89026,0,0,0,0.00261667,0,0.0648229
